iter	Passed	Remaining
0	167	167052
1	169	84460
2	171	56867
3	172	42919
4	173	34547
5	174	28987
6	176	25003
7	177	22002
8	178	19667
9	180	17840
10	181	16315
11	182	15048
12	184	13996
13	185	13074
14	186	12274
15	188	11594
16	189	10977
17	191	10429
18	192	9952
19	194	9506
20	195	9101
21	196	8734
22	197	8393
23	198	8079
24	199	7796
25	200	7525
26	201	7271
27	202	7033
28	203	6826
29	204	6617
30	205	6428
31	206	6243
32	207	6067
33	207	5903
34	208	5748
35	209	5599
36	210	5466
37	210	5335
38	211	5209
39	212	5095
40	213	4982
41	213	4875
42	214	4776
43	215	4678
44	216	4584
45	216	4499
46	217	4413
47	218	4332
48	219	4255
49	220	4181
50	220	4108
51	221	4039
52	222	3971
53	223	3906
54	223	3845
55	224	3784
56	225	3725
57	225	3670
58	226	3618
59	227	3564
60	228	3512
61	228	3462
62	229	3414
63	230	3368
64	231	3324
65	231	3282
66	232	3239
67	232	3193
68	233	3153
69	234	3118
70	235	3080
71	236	3043
72	236	3007
73	237	2972
74	238	2940
75	239	2908
76	239	2876
77	240	2844
78	241	2812
79	241	2782
80	242	2754
81	243	2726
82	244	2698
83	244	2671
84	245	2642
85	246	2616
86	246	2588
87	247	2565
88	248	2541
89	249	2521
90	250	2498
91	250	2475
92	251	2452
93	252	2432
94	253	2410
95	253	2389
96	254	2368
97	255	2349
98	256	2330
99	256	2310
100	257	2291
101	257	2269
102	258	2252
103	259	2234
104	260	2217
105	260	2200
106	261	2183
107	262	2166
108	263	2151
109	264	2136
110	264	2120
111	265	2106
112	266	2091
113	267	2077
114	268	2064
115	268	2048
116	269	2034
117	270	2021
118	270	2006
119	271	1992
120	272	1979
121	273	1967
122	273	1951
123	274	1938
124	275	1926
125	275	1914
126	276	1903
127	277	1889
128	278	1877
129	278	1866
130	279	1855
131	280	1845
132	281	1834
133	282	1823
134	282	1812
135	283	1801
136	284	1791
137	285	1780
138	285	1770
139	286	1761
140	287	1750
141	288	1740
142	288	1731
143	289	1721
144	290	1712
145	291	1704
146	292	1694
147	292	1686
148	293	1677
149	294	1668
150	295	1660
151	296	1652
152	296	1644
153	297	1635
154	298	1626
155	298	1617
156	299	1609
157	300	1601
158	301	1593
159	301	1585
160	302	1577
161	303	1569
162	304	1561
163	304	1554
164	305	1547
165	306	1539
166	307	1532
167	308	1525
168	308	1518
169	309	1511
170	310	1504
171	311	1497
172	311	1490
173	312	1483
174	313	1476
175	313	1470
176	314	1463
177	315	1456
178	316	1450
179	316	1443
180	317	1436
181	318	1429
182	318	1423
183	319	1417
184	320	1412
185	321	1406
186	322	1400
187	322	1394
188	323	1388
189	324	1383
190	325	1377
191	325	1371
192	326	1366
193	327	1360
194	328	1355
195	328	1349
196	329	1343
197	330	1338
198	331	1333
199	331	1327
200	332	1322
201	333	1317
202	334	1312
203	335	1310
204	336	1305
205	337	1302
206	338	1298
207	340	1294
208	340	1290
209	341	1285
210	342	1281
211	343	1277
212	344	1272
213	345	1269
214	346	1266
215	348	1263
216	349	1260
217	350	1256
218	351	1253
219	352	1249
220	353	1246
221	354	1241
222	355	1238
223	356	1234
224	357	1230
225	358	1226
226	359	1223
227	360	1219
228	361	1216
229	362	1212
230	363	1208
231	364	1205
232	365	1202
233	366	1198
234	367	1195
235	368	1191
236	369	1188
237	370	1185
238	371	1181
239	371	1177
240	372	1174
241	373	1171
242	374	1167
243	375	1164
244	376	1161
245	377	1158
246	378	1154
247	379	1150
248	380	1147
249	381	1144
250	382	1140
251	383	1138
252	384	1134
253	385	1131
254	386	1128
255	387	1125
256	388	1123
257	389	1120
258	390	1117
259	391	1115
260	392	1112
261	393	1109
262	394	1106
263	396	1104
264	397	1102
265	398	1099
266	399	1097
267	400	1094
268	401	1091
269	402	1088
270	403	1086
271	404	1083
272	405	1080
273	407	1078
274	407	1075
275	408	1072
276	410	1070
277	411	1067
278	412	1065
279	413	1063
280	414	1060
281	415	1058
282	416	1055
283	417	1052
284	418	1049
285	419	1047
286	420	1044
287	421	1042
288	422	1039
289	423	1037
290	424	1034
291	425	1032
292	426	1029
293	427	1026
294	428	1024
295	429	1021
296	430	1019
297	431	1016
298	432	1014
299	433	1011
300	434	1008
301	435	1006
302	436	1003
303	437	1001
304	438	998
305	439	996
306	440	993
307	441	991
308	442	989
309	443	987
310	444	984
311	445	982
312	446	980
313	447	977
314	448	975
315	449	973
316	450	970
317	451	968
318	452	966
319	453	963
320	454	961
321	455	958
322	456	956
323	457	953
324	458	951
325	459	949
326	460	946
327	461	944
328	462	942
329	463	940
330	464	938
331	465	936
332	466	934
333	467	931
334	468	929
335	469	927
336	470	925
337	471	922
338	472	920
339	473	918
340	474	916
341	475	914
342	476	912
343	477	910
344	478	907
345	478	905
346	479	903
347	480	900
348	481	898
349	482	896
350	483	894
351	485	892
352	485	890
353	486	888
354	487	886
355	488	884
356	490	882
357	490	880
358	491	878
359	492	876
360	493	874
361	494	871
362	495	870
363	496	868
364	498	866
365	499	864
366	500	863
367	501	861
368	502	859
369	503	857
370	504	855
371	505	853
372	506	851
373	507	849
374	508	847
375	509	845
376	510	843
377	511	842
378	512	840
379	513	838
380	514	836
381	516	834
382	516	832
383	518	831
384	519	829
385	520	827
386	520	825
387	522	823
388	523	821
389	523	819
390	524	817
391	525	815
392	526	813
393	527	811
394	528	809
395	529	807
396	530	805
397	531	804
398	532	802
399	533	800
400	534	798
401	535	796
402	536	795
403	537	793
404	538	791
405	539	789
406	540	788
407	541	786
408	542	784
409	543	782
410	544	780
411	545	779
412	546	777
413	547	775
414	548	773
415	549	771
416	550	770
417	551	768
418	552	766
419	553	764
420	554	763
421	555	761
422	557	759
423	557	757
424	558	756
425	559	754
426	560	752
427	561	750
428	562	748
429	563	746
430	564	745
431	565	743
432	566	741
433	567	740
434	568	738
435	569	736
436	570	735
437	571	733
438	572	731
439	573	730
440	574	728
441	575	726
442	576	724
443	577	723
444	578	721
445	579	720
446	581	718
447	582	717
448	583	716
449	584	714
450	585	713
451	586	711
452	587	709
453	588	708
454	590	706
455	590	704
456	591	703
457	592	701
458	594	700
459	595	698
460	596	697
461	597	695
462	598	693
463	599	692
464	600	690
465	601	689
466	602	687
467	603	685
468	604	684
469	604	682
470	606	680
471	606	678
472	607	677
473	608	675
474	609	673
475	610	672
476	611	670
477	612	669
478	613	667
479	614	665
480	615	663
481	616	662
482	617	660
483	618	659
484	619	657
485	620	656
486	621	654
487	622	652
488	623	651
489	624	649
490	625	648
491	626	646
492	626	644
493	627	643
494	629	641
495	630	640
496	630	638
497	631	637
498	633	635
499	633	633
500	635	632
501	636	630
502	636	629
503	637	627
504	638	626
505	639	624
506	640	622
507	641	621
508	642	619
509	643	618
510	644	617
511	645	615
512	646	614
513	647	612
514	648	611
515	649	609
516	650	608
517	651	606
518	652	605
519	653	603
520	654	602
521	655	600
522	656	598
523	657	597
524	658	595
525	659	594
526	660	592
527	661	591
528	662	589
529	663	588
530	664	586
531	665	585
532	666	583
533	667	582
534	668	581
535	669	579
536	670	578
537	671	576
538	672	575
539	673	573
540	674	572
541	675	570
542	676	569
543	677	567
544	678	566
545	679	565
546	680	563
547	681	562
548	682	560
549	683	559
550	684	557
551	685	556
552	686	554
553	687	553
554	688	552
555	689	550
556	690	549
557	691	547
558	692	546
559	693	545
560	694	543
561	695	542
562	696	540
563	697	539
564	698	537
565	699	536
566	700	534
567	701	533
568	702	532
569	703	530
570	704	529
571	705	527
572	705	525
573	706	524
574	707	523
575	708	521
576	709	520
577	710	518
578	711	517
579	712	515
580	713	514
581	713	512
582	714	511
583	715	509
584	716	508
585	717	507
586	718	505
587	719	504
588	720	502
589	721	501
590	722	499
591	723	498
592	723	496
593	724	495
594	725	493
595	726	492
596	727	491
597	728	489
598	729	488
599	730	486
600	730	485
601	731	483
602	732	482
603	733	481
604	734	479
605	735	478
606	736	476
607	737	475
608	738	474
609	739	472
610	740	471
611	740	469
612	741	468
613	742	466
614	743	465
615	744	464
616	745	462
617	746	461
618	747	460
619	748	458
620	749	457
621	750	455
622	751	454
623	751	453
624	752	451
625	753	450
626	754	448
627	755	447
628	756	445
629	757	444
630	757	443
631	758	441
632	759	440
633	760	439
634	761	437
635	762	436
636	763	434
637	764	433
638	765	432
639	765	430
640	766	429
641	767	428
642	768	426
643	769	425
644	770	424
645	771	422
646	772	421
647	773	420
648	774	418
649	775	417
650	776	416
651	777	414
652	778	413
653	779	412
654	780	410
655	780	409
656	781	408
657	782	406
658	783	405
659	784	404
660	785	402
661	786	401
662	787	400
663	788	398
664	789	397
665	790	396
666	791	394
667	791	393
668	792	392
669	793	390
670	794	389
671	795	388
672	796	386
673	797	385
674	798	384
675	799	383
676	800	381
677	800	380
678	801	379
679	802	377
680	803	376
681	804	375
682	805	373
683	806	372
684	806	371
685	807	369
686	808	368
687	809	367
688	810	365
689	811	364
690	812	363
691	813	361
692	813	360
693	814	359
694	815	357
695	816	356
696	817	355
697	818	354
698	819	352
699	820	351
700	821	350
701	821	348
702	822	347
703	823	346
704	824	345
705	825	343
706	825	342
707	826	341
708	827	339
709	828	338
710	829	337
711	830	335
712	831	334
713	832	333
714	833	332
715	834	330
716	835	329
717	836	328
718	836	327
719	837	325
720	838	324
721	839	323
722	840	322
723	841	320
724	842	319
725	843	318
726	843	316
727	844	315
728	845	314
729	846	313
730	847	311
731	848	310
732	849	309
733	850	308
734	851	306
735	851	305
736	852	304
737	853	303
738	854	301
739	855	300
740	856	299
741	857	298
742	858	296
743	858	295
744	859	294
745	860	293
746	861	291
747	862	290
748	863	289
749	864	288
750	864	286
751	865	285
752	866	284
753	867	283
754	868	281
755	869	280
756	870	279
757	871	278
758	871	276
759	872	275
760	873	274
761	874	273
762	875	271
763	876	270
764	877	269
765	878	268
766	878	266
